filename,offset_x,offset_y,original_width,original_height,cropped_width,cropped_height
e1_002__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_002__e1_censor_02.webp,474,1499,2160,3840,242,159
e1_003__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_003__e1_censor_02.webp,474,1499,2160,3840,242,159
e1_004__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_005__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_006__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_006__e1_censor_03.webp,536,1562,2160,3840,131,134
e1_007__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_007__e1_censor_02.webp,474,1499,2160,3840,242,159
e1_008__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_009__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_009__e1_censor_02.webp,474,1499,2160,3840,242,159
e1_010__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_010__e1_censor_02.webp,474,1499,2160,3840,242,159
e1_011__e1_censor_01.webp,348,1697,2160,3840,185,243
e1_012__e1_censor_01.webp,348,1697,2160,3840,185,243
e3_001__e3_censor_01.webp,650,518,2160,3840,134,118
e3_002__e3_censor_02.webp,842,2040,2160,3840,155,111
e3_003__e3_censor_03.webp,814,2016,2160,3840,204,105
e3_004__e3_censor_03.webp,814,2016,2160,3840,204,105
e3_007__e3_censor_04.webp,857,2066,2160,3840,148,82
e3_008__e3_censor_03.webp,814,2016,2160,3840,204,105
e3_009__e3_censor_03.webp,814,2016,2160,3840,204,105
e3_010__e3_censor_03.webp,814,2016,2160,3840,204,105
e3_011__e3_censor_03.webp,814,2016,2160,3840,204,105
e4_004__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_004__e4_censor_02.webp,986,1425,2160,3840,120,175
e4_005__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_006__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_007__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_008__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_008__e4_censor_02.webp,986,1425,2160,3840,120,175
e4_009__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_009__e4_censor_02.webp,986,1425,2160,3840,120,175
e4_010__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_010__e4_censor_02.webp,986,1425,2160,3840,120,175
e4_011__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_012__e4_censor_01.webp,1119,1638,2160,3840,150,180
e4_013__e4_censor_01.webp,1119,1638,2160,3840,150,180
e5_001__e5_censor_01.webp,810,2830,2160,3840,91,93
e5_002__e5_censor_02.webp,731,2787,2160,3840,131,112
e5_003__e5_censor_03.webp,680,2800,2160,3840,171,135
e5_006__e5_censor_01.webp,810,2830,2160,3840,91,93
e5_007__e5_censor_02.webp,731,2787,2160,3840,131,112
e5_008__e5_censor_03.webp,680,2800,2160,3840,171,135
e5_010__e5_censor_03.webp,680,2800,2160,3840,171,135
e5_012__e5_censor_01.webp,810,2830,2160,3840,91,93
e5_013__e5_censor_01.webp,810,2830,2160,3840,91,93
e6_001__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_002__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_002__e6_censor_02.webp,1368,1836,2160,3840,150,133
e6_003__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_003__e6_censor_03.webp,1365,1842,2160,3840,185,166
e6_004__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_005__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_006__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_007__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_008__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_008__e6_censor_04.webp,1364,1844,2160,3840,158,120
e6_009__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_009__e6_censor_03.webp,1365,1842,2160,3840,185,166
e6_010__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_010__e6_censor_03.webp,1365,1842,2160,3840,185,166
e6_011__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_011__e6_censor_03.webp,1365,1842,2160,3840,185,166
e6_012__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_013__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_014__e6_censor_01.webp,1152,1947,2160,3840,196,141
e6_015__e6_censor_01.webp,1152,1947,2160,3840,196,141
