filename,offset_x,offset_y,original_width,original_height,cropped_width,cropped_height
e1_censor_01.webp,358,1707,2160,3840,165,223
e1_censor_02.webp,484,1509,2160,3840,222,139
e1_censor_03.webp,546,1572,2160,3840,111,114
e3_censor_01.webp,660,528,2160,3840,114,98
e3_censor_02.webp,852,2050,2160,3840,135,91
e3_censor_03.webp,824,2026,2160,3840,184,85
e3_censor_04.webp,867,2076,2160,3840,128,62
e4_censor_01.webp,1129,1648,2160,3840,130,160
e4_censor_02.webp,996,1435,2160,3840,100,155
e5_censor_01.webp,820,2840,2160,3840,71,73
e5_censor_02.webp,741,2797,2160,3840,111,92
e5_censor_03.webp,690,2810,2160,3840,151,115
e6_censor_01.webp,1162,1957,2160,3840,176,121
e6_censor_02.webp,1378,1846,2160,3840,130,113
e6_censor_03.webp,1375,1852,2160,3840,165,146
e6_censor_04.webp,1374,1854,2160,3840,138,100
e8_sign_en.webp,1430,1282,2160,3840,463,140
e8_sign_jp.webp,1430,1282,2160,3840,454,141
e8_sign_ko.webp,1430,1282,2160,3840,429,146
