type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
dialogue_start,dialogue_bubble_0,,,,,,
dialogue,ED5_D001,,,,,,
dialogue,ED5_D002,,,,,,
dialogue_end,,,,,,,
sfx,car_door_open.mp3,,,,,TRUE,
sfx,pantyoffquick.ogg,,,,,TRUE,
wait,,,0.8,,,,
bgm,Ending5.tres,,,,,,
image1,e5_001,,,,,,
image2,e5_censor_01,,,,,,
sfx,gurgle3.ogg,,,,,,
dialogue_start,dialogue_bubble_1,,,upper,,,
dialogue,ED5_D003,,,,,,
image1,e5_002,,,,,,
image2,e5_censor_02,,,,,,
sfx,fart_misclick4.ogg,,,,,,
sfx,poopshort3.ogg,,0.2,,,,
dialogue,ED5_D004,,,,,,
image1,e5_003,,,,,,
image2,e5_censor_03,,,,,,
sfx,poop5_impact.ogg,,,,,,
sfx,poopfart2.ogg,,,,,,
dialogue,ED5_D005,,,,,,
image1,e5_004,,,,,,
remove2,,,,,,,
sfx,fart3_short3.ogg,,,,,,
dialogue,ED5_D006,,,,,,
dialogue_end,,,,,,,
image1,e5_005,,,,,,
sfx,fart5.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1,,,upper,,,
dialogue,,,,,,,
dialogue,ED5_D007,,,,,,
image1,e5_006,,,,,,
image2,e5_censor_01,,,,,,
dialogue,ED5_D008,,,,,,
image1,e5_007,,,,,,
image2,e5_censor_02,,,,,,
sfx,fart_misclick6.ogg,,,,,,
sfx,poopshort2.ogg,,,,,,
sfx,gurgle7.ogg,,,,,,
dialogue,ED5_D009,,,,,,
image1,e5_008,,,,,,
image2,e5_censor_03,,,,,,
sfx,poop3.ogg,,,,,,
dialogue,ED5_D010,,,,,,
image1,e5_009,,,,,,
remove2,,,,,,,
sfx,fart2.ogg,,,,,,
dialogue,ED5_D011,,,,,,
image1,e5_010,,,,,,
image2,e5_censor_03,,,,,,
sfx,poop2.ogg,,,,,,
dialogue,ED5_D012,,,,,,
dialogue_end,,,,,,,
image1,e5_011,,,,,,
remove2,,,,,,,
sfx,fart3.ogg,,,,,TRUE,
dialogue_start,dialogue_bubble_1,,,upper,,,
dialogue,ED5_D013,,,,,,
image1,e5_012,,,,,,
image2,e5_censor_01,,,,,,
dialogue,ED5_D014,,,,,,
image1,e5_013,,,,,,
dialogue,ED5_D015,,,,,,
dialogue_end,,,,,,,
