type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
bgm,Intro_Car.tres,,,,,,
wait,,,1,,,,
sfx,gurgle2.tres,,,,,TRUE,
image,chara_002,,,,,,
dialogue_start,dialogue_bubble_1,,,,,,
dialogue,INTRO_D001,,,,,,
sfx,fart6_short.ogg,,,,,,
gas1,,,,,,,
image,chara_003,,,,,,
dialogue,INTRO_D002,,,,,,
image,chara_002,,,,,,
dialogue,INTRO_D003,,,,,,
dialogue_end,,,,,,,
image,chara_004,,,,,,
sfx,gurgle7.ogg,,,,,,
wait,,,1,,,,
sfx,fart1.ogg,,,,,,
gas4,,,,,,,
wait,,,1,,,,
dialogue_start,dialogue_bubble_think_1,,,,,,
dialogue,INTRO_D004_1,,,,,,
dialogue,INTRO_D004_2,,,,,,
dialogue,INTRO_D004_3,,,,,,
dialogue_end,,,,,,,
sfx,fart11.ogg,,,,,,
image,chara_005,,,,,,
gas2,,,,,,,
wait,,,0.6,,,,
gas3,,,,,,,
wait,,,1,,,,
dialogue_start,dialogue_bubble_think_1,,,,,,
dialogue,INTRO_D005_1,,,,,,
dialogue,INTRO_D005_2,,,,,,
dialogue_end,,,,,,,
wait,,,1,,,,
