type,path_or_id,transition,duration,direction,z_index,wait_flag,memo(will not affect game)
image,i_001,,,,,,
image,i_002,,,,,,
dialogue_start,dialogue_bubble_1,,,,,,
dialogue,INTRO_D001,,,,,,
image,i_003,,,,,,
dialogue,INTRO_D002,,,,,,
image,i_004,,,,,,
dialogue,INTRO_D003,,,,,,
dialogue_end,,,,,,,
image,i_005,,,,,,
dialogue_start,dialogue_bubble_think_1,,,,,,
dialogue,INTRO_D004_1,,,,,,
dialogue,INTRO_D004_2,,,,,,
dialogue,INTRO_D004_3,,,,,,
dialogue_end,,,,,,,
image,i_006,,,,,,
dialogue_start,dialogue_bubble_think_1,,,,,,
dialogue,INTRO_D005_1,,,,,,
dialogue,INTRO_D005_2,,,,,,
dialogue_end,,,,,,,
