quiz,answer,wrong1,wrong2,wrong3
3×9,27,29,26,28
3-2,1,4,2,3
5+9,14,16,15,13
8×9,72,70,73,71
7×5,35,34,36,37
5×3,15,14,17,16
4-3,1,3,4,2
5×5,25,27,24,26
7+3,10,8,11,9
1×8,8,10,7,9
1+9,10,9,11,8
7+3,10,9,8,11
6-3,3,2,4,5
2×9,18,19,16,17
8-6,2,4,1,3
2×3,6,5,7,4
4×4,16,17,18,15
5+5,10,8,11,9
9+3,12,13,11,10
8+5,13,12,14,11
7-3,4,6,5,3
8-1,7,5,6,8
3×6,18,17,20,19
3×3,9,8,11,10
8-6,2,4,3,1
2-1,1,3,2,4
5+4,9,8,7,10
7×9,63,64,65,62
5×7,35,34,36,33
9-8,1,4,3,2
9×6,54,52,55,53
5×3,15,16,13,14
1×8,8,9,6,7
3+3,6,7,4,5
6+6,12,13,11,14
8×5,40,41,39,38
7+5,12,13,10,11
6+1,7,5,8,6
2×2,4,2,5,3
1+6,7,8,6,5
6-4,2,3,1,4
9-5,4,3,5,6
7×8,56,55,57,58
6×9,54,55,53,56
7-6,1,3,2,4
3+8,11,12,9,10
6+4,10,9,11,12
7+5,12,11,10,13
4+8,12,14,11,13
2-1,1,4,3,2
6-4,2,4,3,1
2+1,3,2,5,4
4×6,24,25,23,26
5-4,1,4,3,2
8×8,64,65,63,62
8-6,2,3,4,1
9×9,81,80,79,82
6+9,15,16,14,13
5-2,3,2,5,4
1×3,3,4,5,2
4×8,32,34,33,31
7×9,63,61,64,62
3×1,3,4,2,5
4×2,8,9,7,6
7+1,8,7,9,6
5-3,2,1,4,3
4×9,36,35,37,34
7×6,42,41,43,44
9×7,63,62,64,65
3+4,7,9,6,8
8-5,3,4,5,2
9×3,27,25,28,26
8+2,10,8,9,11
7+3,10,12,11,9
8+5,13,12,11,14
7+5,12,11,13,10
5+1,6,5,7,8
4+4,8,9,6,7
5×6,30,28,29,31
5×2,10,9,8,11
7-6,1,2,3,4
7+1,8,6,9,7
2×4,8,9,10,7
2×4,8,9,7,6
2+8,10,8,11,9
7×3,21,20,23,22
8-5,3,4,2,5
4×7,28,27,26,29
2+4,6,5,7,4
5×2,10,9,11,8
4×1,4,3,5,2
8-5,3,4,2,1
7-3,4,3,2,5
4+8,12,10,11,13
8×5,40,41,38,39
2+4,6,5,4,7
4×6,24,22,25,23
5+3,8,6,7,9
1+9,10,11,12,9
9-3,6,7,8,5
2+1,3,2,5,4
2+8,10,9,11,8
9-2,7,8,5,6
6×5,30,31,29,28
6×1,6,8,5,7
5×8,40,39,41,38
1+3,4,2,3,5
2+5,7,8,5,6
6+9,15,14,16,13
9×8,72,73,70,71
8×8,64,63,65,62
4×5,20,19,18,21
1×8,8,7,6,9
8+7,15,14,17,16
7×2,14,15,16,13
6+5,11,12,10,9
9+3,12,14,13,11
1+8,9,8,10,7
5×5,25,26,24,27
4×7,28,27,29,30
5+7,12,14,11,13
3-1,2,3,1,4
6×1,6,7,4,5
8+9,17,19,16,18
8-7,1,4,3,2
9+2,11,10,9,12
3+8,11,12,13,10
4×7,28,27,29,26
9×3,27,28,29,26
9+5,14,15,13,16
7+2,9,8,10,11
9-3,6,4,7,5
4×3,12,14,13,11
5+1,6,4,7,5
9×7,63,65,62,64
6×3,18,17,20,19
7-6,1,3,4,2
6-1,5,6,7,4
3+6,9,11,8,10
9×5,45,46,47,44
1×1,1,2,4,3
3+5,8,10,7,9
9-1,8,7,10,9
6+7,13,12,14,15
4×7,28,27,30,29
2×3,6,7,5,8
7+2,9,8,7,10
4+6,10,9,8,11
4×8,32,31,33,34
3+7,10,11,12,9
4×7,28,26,29,27
8-6,2,3,4,1
2-1,1,4,2,3
7+1,8,7,10,9
4+1,5,6,3,4
4×7,28,29,26,27
2×7,14,16,15,13
2×3,6,7,5,8
1+3,4,5,2,3
4×3,12,11,14,13
5+3,8,7,6,9
4×3,12,10,13,11
9+5,14,16,13,15
2+8,10,9,12,11
9×1,9,8,10,11
6×4,24,25,26,23
8-3,5,4,6,3
4×8,32,33,30,31
9-4,5,7,4,6
6-1,5,6,3,4
6+4,10,11,9,12
6-2,4,5,6,3
7+1,8,7,9,10
3+2,5,7,6,4
7+9,16,15,17,14
2×6,12,10,13,11
2×4,8,7,6,9
7+8,15,17,14,16
2×9,18,19,20,17
6-1,5,3,6,4
4×4,16,15,17,14
9×9,81,82,80,83
2×3,6,4,5,7
5×1,5,3,4,6
9+5,14,13,12,15
9+7,16,18,17,15
7+6,13,15,12,14
7×3,21,23,22,20
7-2,5,6,7,4
4×3,12,13,11,10
8-5,3,5,4,2
5+5,10,9,11,12
4+6,10,9,12,11
1+7,8,6,9,7
5+6,11,12,9,10
7×8,56,57,54,55
7×5,35,36,37,34
6+2,8,9,10,7
2+4,6,5,4,7
4+1,5,4,7,6
9+7,16,17,15,14
6-2,4,5,3,6
2+9,11,10,12,9
5+3,8,6,9,7
9×2,18,17,19,16
1×8,8,6,9,7
8+2,10,9,8,11
6-5,1,2,4,3
3×9,27,28,29,26
7-2,5,4,7,6
9×4,36,34,35,37
9×8,72,74,71,73
2+6,8,7,9,6
6+9,15,16,17,14
3+6,9,10,7,8
3×6,18,17,16,19
2×3,6,7,5,4
5×3,15,13,14,16
2+5,7,6,8,9
2×5,10,9,8,11
6-1,5,4,6,7
2+1,3,4,2,1
7-4,3,5,4,2
5+5,10,9,11,12
7-2,5,4,3,6
7+3,10,11,9,8
5+9,14,16,13,15
8-4,4,5,2,3
9-6,3,2,4,5
