key,ja,en,ko,zh
ED2_D001_1,"[b]家に着いた！？[/b][w3][sh]は…[w3]早くっ…[w3]
[fs15]トイレっ…！[/fs][/sh]","[b]We're home!?[/b][w3][sh] Q…[w3]quick…[w3]
[fs12]THE BATHROOM…![/fs][/sh]",[b]도착했다!![/b][w3] 빠…[w3] 빨리…[w3] 화장실…!,"[b]到家了！？[/b][w3][sh]快…[w3]快点…[w3]
[fs15]厕所…！[/fs][/sh]"
ED2_D003_2,"[sh]うそでしょ…[w3]
トイレ目の前なのに…[/sh]","[sh]No way…[w3]
The toilet's right there…[/sh]","[sh]안 돼…[w3]
화장실까지 다 왔잖아…[/sh]","[sh]不会吧…[w3]
厕所明明就在眼前…[/sh]"
ED2_D001_2,"ほんとにヤバいっ…！[w3]
[sh][b][fs13]漏れるぅっ…！[/fs][/b][/sh]","This is really bad…![w3]
[sh][b][fs13]I'M GONNA POOP MYSELF…![/fs][/b][/sh]","정말 한계야…[w3] [sh][b]쌀 것 같아…! [w3]
빨리 응가…![/b][/sh]","真的不行了…！[w3]
[sh][b][fs13]要拉裤子里了…！[/fs][/b][/sh]"
ED2_D003_1,"ダメ…[w3]動けない…[w3]動いたら…
[w3][sh][b][fs15]出るっ…！[/fs][/b][/sh]",No…[w3] I can't move…[w3] If I move…[w3][sh][b] IT'LL COME OUT…![/b][/sh],"안 돼…[w3] 못 움직이겠어…[w3]
움직이면…[w3][sh][b] 이거 무조건 나와…![/b][/sh]","不行…[w3]我动不了…[w3]一动的话…
[w3][sh][b][fs15]就要出来了…！[/fs][/b][/sh]"
ED4_D009,[sh]んっ…[w3][fs13]おっ…[/fs][/sh],[sh]Mmh… [w3] [fs13]oh…[/fs][/sh],[sh]흐응…[w3] [fs13]으옷…[/fs][/sh],[sh]唔…[w3][fs13]哦…[/fs][/sh]
ED4_D008,"[b][sh]んんっ…！[/sh][/b][w3]ヤダ…[w3]
まだうんちでそう…","[b][sh]Nngh…![/sh][/b][w3] No… [w3]
There's still more coming…","[sh][b]흐읏…![/b][/sh][w3] 응가… [w3]
아직 더 나올 것 같아…","[b][sh]唔…！[/sh][/b][w3]不要…[w3]
好像还有便便要出来…"
ED4_D006,"[sh][fs13]んあっ…[/fs][w3]
[wv]あああああああ…[/wv][/sh]","[sh][fs13]Ah…[/fs][w3]
[wv]Aaaaaah…[/wv][/sh]",[sh]응앗…[/sh][w3][wv] 아아아아아아아…[/wv],"[sh][fs13]啊…[/fs][w3]
[wv]啊啊啊啊啊啊啊…[/wv][/sh]"
ED4_D005,[fs12][b][sh]ぐうぅうううっ…！[/sh][/b][/fs],[fs12][b][sh]Gnnngghhh…![/sh][/b][/fs],[fs12][b][sh]끄으으으으으응…![/sh][/b][/fs],[fs12][b][sh]咕呜呜呜呜…！[/sh][/b][/fs]
ED4_D004,[b][fs13]…！[/fs][/b],[b][fs13]…![/fs][/b],[b][fs13]…![/fs][/b],[b][fs13]…！[/fs][/b]
ED4_D002,[w5][fs15][sh]あっ…！[/sh][/fs],[w5][fs15][sh]Ah…![/sh][/fs],[w5][fs15][sh]어어…!?[/sh][/fs],[w5][fs15][sh]啊…！[/sh][/fs]
ED3_D014,んっ…[w3][wv][b]はああああああ…♥[/b][/wv],Mmh…[w3][wv][b] Haaahhh…♥[/b][/wv],웃…[w3][wv][b] 후아아아아아아아…♥[/b][/wv],唔…[w3][wv][b]哈啊啊啊啊啊啊…♥[/b][/wv]
ED4_D001,"着いた…！？[w3][sh]うあ…[w3]あ…[w3][/sh]
ほんとにヤバいっ…！
[fs11][b][w3][sh]も…[w3]漏れるっ…！[/sh][/b][/fs]",[b]We're here…!?[/b][w3][sh] Ugh… [w3] Ah… [w3][/sh] This is bad…! [b][w3][sh]I… [w3]I'm gonna poop myself…![/sh][/b],"[sh]도착했어…!?[w3] 으흑…[w3] 아읏…[w3][/sh]
진짜 위험해…! [w3][sh]싸…[w3] [b]쌀 것 같아…![/b][/sh]","[b]到了…！？[/b][w3][sh]呜啊…[w3]啊…[w3][/sh]
真的不行了…！
[fs11][b][w3][sh]要…[w3]要拉出来了…！[/sh][/b][/fs]"
ED3_D011,[sh]んんんんんんっ…♥[/sh],[sh]Nnngghhh…♥[/sh],[sh]흐으으으으응…♥[/sh],[sh]唔唔唔唔唔唔…♥[/sh]
ED3_D010,んっ…[w3]ふんっ…,Mmph…[w3]hngh…,끄응…[w3] 후응…,唔…[w3]嗯…
