key,ja,en,ko,zh
GAME_TITLE,車の中でうん〇我慢する話,Desperate on the Ride Home,차에서 응가 참는 이야기,回家路上的憋便危机
MM_START,プレイ,PLAY,플레이,开始游戏
MM_REPLAY,回想,REPLAY,회상하기,回想
MM_SETTING,設定,SETTINGS,설정,设置
MM_CREDITS,クレジット,CREDITS,크레딧,制作人员
MM_QUIT,終了,QUIT,종료,退出游戏
MM_BONUS,特典,BONUS,특전,特典
BT_BACK,もどる,BACK,돌아가기,返回
ASK_INTRO,イントロを再生しますか？,Play intro?,인트로를 재생할까요?,要播放序章吗？
ANSWER_YES,はい,Yes,네,是
ANSWER_NO,いいえ,No,아니오,否
ENDING_DESC_1,"～エンディング１～
家のトイレで無事うんち","～ Ending 1 ～
Pooped in the Toilet at Home","~ 엔딩1 ~
집에서 무사히 응가하기","～结局1～
顺利在家里的厕所便便"
ENDING_DESC_2,"～エンディング２～
トイレ前でお漏らし","～ Ending 2 ～
Pooped Her Panties in front of the Bathroom","~ 엔딩2 ~
화장실 앞에서 지리기","～结局2～
在厕所门前失禁"
ENDING_DESC_3,"～エンディング３～
公衆トイレで無事うんち","～ Ending 3 ～
Pooped in a Public Restroom","~ 엔딩3 ~
공중 화장실에서 무사히 응가하기","～结局3～
顺利在公共厕所便便"
ENDING_DESC_4,"～エンディング４～
用具入れのバケツにうんち","～ Ending 4 ～
Pooped in a Bucket in the Janitor’s Closet","~ 엔딩4 ~
청소 도구함에서 응가하기","～结局4～
在清洁工具柜里的水桶里便便"
ENDING_DESC_5,"～エンディング５～
公衆トイレに行く途中野グソ","～ Ending 5 ～
Pooped Outside on the Way to a Public Restroom","~ 엔딩5 ~
공중 화장실 가는 길에 응가하기","～结局5～
去公共厕所途中在野外便便"
ENDING_DESC_6,"～エンディング６～
車の陰で野グソ","～ Ending 6 ～
Pooped Behind a Car","~ 엔딩6 ~
차 뒤에 숨어서 응가하기","～结局6～
躲在车后便便"
ENDING_DESC_7,"～エンディング７～
後部座席で袋にうんち","～ Ending 7 ～
Pooped in a Plastic Bag in the Back Seat","~ 엔딩7 ~
뒷자리에서 봉지에 응가하기","～结局7～
在后座的塑料袋里便便"
ENDING_DESC_8,"～エンディング８～
助手席でお漏らし","～ Ending 8 ～
Pooped Her Panties in the Passenger Seat","~ 엔딩8 ~
조수석에서 응가 지리기","～结局8～
在副驾驶座上失禁"
ENDING_TRIAL,ぜひ製品版で！,See you in the full version!,완전판에서 만나요!,完整版见！
ENDING_HINT_1,便意2段階以下で家に到着,Get home with urgency level 1 or 2,변의 2단계 이하에서 집에 도착하기,便意不超过第2阶段时到家
ENDING_HINT_2,便意3段階で家に到着,Get home with urgency level 3,변의 3단계에서 집에 도착하기,便意处于第3阶段时到家
ENDING_HINT_3,便意1段階で公衆トイレへ向かう,Head to a public restroom at urgency level 1,변의 1단계에서 공중 화장실 가기,在便意第1阶段时前往公共厕所
ENDING_HINT_4,便意2段階で公衆トイレへ向かう,Head to a public restroom at urgency level 2,변의 2단계에서 공중 화장실 가기,在便意第2阶段时前往公共厕所
ENDING_HINT_5,便意3段階で公衆トイレへ向かう,Head to a public restroom at urgency level 3,변의 3단계에서 공중 화장실 가기,在便意第3阶段时前往公共厕所
ENDING_HINT_6,家までまだ遠いのに限界に達してしまう,Hit the limit far from home,집까지 한참 남았을 때 한계 도달,离家还很远时便意达到极限
ENDING_HINT_7,公衆トイレに行けるのに限界に達してしまう,Hit the limit near a public restroom,공중 화장실 갈 수 있을 때 한계 도달,明明能去公共厕所，却还是达到极限
